normal,all,0.0146,89.38,137,19-05-2022_15-23-08,/home/arminz/scratch/Xoutputs/50-100/train_source/checkpoint-best-ppl/pytorch_model.bin,../data/datasets/50-100/
normal,all,0.1022,90.77,137,19-05-2022_15-32-17,/home/arminz/scratch/Xoutputs/50-100/train_included/checkpoint-best-ppl/pytorch_model.bin,../data/datasets/50-100/
normal,https://api.github.com/repos/CoprHD/coprhd-controller,0.0000,92.56,34,19-05-2022_20-20-59,/home/arminz/scratch/Xoutputs/50-100/adapted/train_source/best_ppl/https://api.github.com/repos/CoprHD/coprhd-controller/checkpoint-best-ppl/pytorch_model.bin,../data/datasets/50-100/
normal,https://api.github.com/repos/orientechnologies/orientdb,0.4091,93.85,22,19-05-2022_20-22-11,/home/arminz/scratch/Xoutputs/50-100/adapted/train_source/best_ppl/https://api.github.com/repos/orientechnologies/orientdb/checkpoint-best-ppl/pytorch_model.bin,../data/datasets/50-100/
normal,https://api.github.com/repos/wordpress-mobile/WordPress-Android,0.0000,90.05,13,19-05-2022_20-23-10,/home/arminz/scratch/Xoutputs/50-100/adapted/train_source/best_ppl/https://api.github.com/repos/wordpress-mobile/WordPress-Android/checkpoint-best-ppl/pytorch_model.bin,../data/datasets/50-100/
normal,https://api.github.com/repos/ihmcrobotics/ihmc-open-robotics-software,0.0769,92.56,13,19-05-2022_20-24-08,/home/arminz/scratch/Xoutputs/50-100/adapted/train_source/best_ppl/https://api.github.com/repos/ihmcrobotics/ihmc-open-robotics-software/checkpoint-best-ppl/pytorch_model.bin,../data/datasets/50-100/
normal,https://api.github.com/repos/awaiwyy/UIcase,0.4167,94.73,12,19-05-2022_20-25-10,/home/arminz/scratch/Xoutputs/50-100/adapted/train_source/best_ppl/https://api.github.com/repos/awaiwyy/UIcase/checkpoint-best-ppl/pytorch_model.bin,../data/datasets/50-100/
normal,https://api.github.com/repos/caskdata/cdap,0.1000,87.54,10,19-05-2022_20-26-00,/home/arminz/scratch/Xoutputs/50-100/adapted/train_source/best_ppl/https://api.github.com/repos/caskdata/cdap/checkpoint-best-ppl/pytorch_model.bin,../data/datasets/50-100/
normal,https://api.github.com/repos/egovernments/eGov,0.1111,88.75,9,19-05-2022_20-26-55,/home/arminz/scratch/Xoutputs/50-100/adapted/train_source/best_ppl/https://api.github.com/repos/egovernments/eGov/checkpoint-best-ppl/pytorch_model.bin,../data/datasets/50-100/
normal,https://api.github.com/repos/crate/crate,0.1250,91.73,8,19-05-2022_20-27-44,/home/arminz/scratch/Xoutputs/50-100/adapted/train_source/best_ppl/https://api.github.com/repos/crate/crate/checkpoint-best-ppl/pytorch_model.bin,../data/datasets/50-100/
