normal,all,7.38,77.540000,149,15-05-2022_23-38-53,/home/arminz/scratch/Xoutputs/train_source/checkpoint-best-ppl/pytorch_model.bin
normal,all,26.85,83.360000,149,15-05-2022_23-44-38,/home/arminz/scratch/Xoutputs/train_included/checkpoint-best-ppl/pytorch_model.bin
normal,https://api.github.com/repos/pjreiniger/snobot2015,0.00,69.430000,34,16-05-2022_00-23-18,/home/arminz/scratch/Xoutputs/train_source/checkpoint-best-ppl/pytorch_model.bin
normal,https://api.github.com/repos/orientechnologies/orientdb,4.76,73.250000,21,16-05-2022_00-24-12,/home/arminz/scratch/Xoutputs/train_source/checkpoint-best-ppl/pytorch_model.bin
normal,https://api.github.com/repos/CoprHD/coprhd-controller,4.76,78.070000,21,16-05-2022_00-24-54,/home/arminz/scratch/Xoutputs/train_source/checkpoint-best-ppl/pytorch_model.bin
normal,https://api.github.com/repos/dstockwell/chromium,8.33,61.440000,12,16-05-2022_00-25-22,/home/arminz/scratch/Xoutputs/train_source/checkpoint-best-ppl/pytorch_model.bin
normal,https://api.github.com/repos/ihmcrobotics/ihmc-open-robotics-software,8.33,61.980000,12,16-05-2022_00-25-47,/home/arminz/scratch/Xoutputs/train_source/checkpoint-best-ppl/pytorch_model.bin
normal,https://api.github.com/repos/rstudio/rstudio,18.18,73.590000,11,16-05-2022_00-26-09,/home/arminz/scratch/Xoutputs/train_source/checkpoint-best-ppl/pytorch_model.bin
normal,https://api.github.com/repos/realm/realm-java,0.00,84.230000,10,16-05-2022_00-26-31,/home/arminz/scratch/Xoutputs/train_source/checkpoint-best-ppl/pytorch_model.bin
normal,https://api.github.com/repos/wordpress-mobile/WordPress-Android,10.00,89.230000,10,16-05-2022_00-26-54,/home/arminz/scratch/Xoutputs/train_source/checkpoint-best-ppl/pytorch_model.bin
normal,https://api.github.com/repos/geogebra/geogebra,11.11,77.900000,9,16-05-2022_00-27-16,/home/arminz/scratch/Xoutputs/train_source/checkpoint-best-ppl/pytorch_model.bin
normal,https://api.github.com/repos/hazelcast/hazelcast,33.33,92.830000,9,16-05-2022_00-27-38,/home/arminz/scratch/Xoutputs/train_source/checkpoint-best-ppl/pytorch_model.bin
normal,https://api.github.com/repos/pjreiniger/snobot2015,97.06,99.470000,34,16-05-2022_01-27-22,/home/arminz/scratch/Xoutputs/adapted/train_source/best_ppl/https://api.github.com/repos/pjreiniger/snobot2015/checkpoint-best-ppl/pytorch_model.bin
normal,https://api.github.com/repos/orientechnologies/orientdb,38.10,78.640000,21,16-05-2022_01-28-09,/home/arminz/scratch/Xoutputs/adapted/train_source/best_ppl/https://api.github.com/repos/orientechnologies/orientdb/checkpoint-best-ppl/pytorch_model.bin
normal,https://api.github.com/repos/CoprHD/coprhd-controller,14.29,78.150000,21,16-05-2022_01-28-53,/home/arminz/scratch/Xoutputs/adapted/train_source/best_ppl/https://api.github.com/repos/CoprHD/coprhd-controller/checkpoint-best-ppl/pytorch_model.bin
normal,https://api.github.com/repos/dstockwell/chromium,16.67,72.060000,12,16-05-2022_01-29-28,/home/arminz/scratch/Xoutputs/adapted/train_source/best_ppl/https://api.github.com/repos/dstockwell/chromium/checkpoint-best-ppl/pytorch_model.bin
normal,https://api.github.com/repos/ihmcrobotics/ihmc-open-robotics-software,16.67,60.650000,12,16-05-2022_01-30-01,/home/arminz/scratch/Xoutputs/adapted/train_source/best_ppl/https://api.github.com/repos/ihmcrobotics/ihmc-open-robotics-software/checkpoint-best-ppl/pytorch_model.bin
normal,https://api.github.com/repos/rstudio/rstudio,18.18,57.660000,11,16-05-2022_01-30-40,/home/arminz/scratch/Xoutputs/adapted/train_source/best_ppl/https://api.github.com/repos/rstudio/rstudio/checkpoint-best-ppl/pytorch_model.bin
